mission,phase,model_type,data,model_name,timestamp,window_size,channels,event_wise_precision,event_wise_recall,event_wise_f0.5,subsystem_aware_precision,subsystem_aware_recall,subsystem_aware_f0.5,channel_aware_precision,channel_aware_recall,channel_aware_f0.5,alarming_precision,adtqc_after_ratio,adtqc_score,affiliation_based_precision,affiliation_based_recall,affiliation_based_f0.5
2,4,AutoEnconderFullWindow,train,Phase4_target_window50_percentile99_epochs25_lr0.0001__2025-01-06_01-22-42,2025-01-06 01:20:18,50,target,0.7688871462524617,0.78125,0.7713283159578112,0.771484375,0.755859375,0.7634294958513709,0.7652230683940243,0.24505210319278153,0.512241392022978,0.17286084701815038,0.9949748743718593,0.985678253657112,0.8671941247057978,0.7435175670275871,0.8392732181462385
2,4,AutoEnconderFullWindow,val,Phase4_target_window50_percentile99_epochs25_lr0.0001__2025-01-06_01-22-42,2025-01-06 01:20:18,50,target,0.14035130553336114,0.9259259259259259,0.16903362753474527,0.9259259259259259,0.9074074074074074,0.9197530864197532,0.9206349206349207,0.23104829976175004,0.5666876228647731,0.2,1.0,0.9984139219020185,0.928241035598119,0.8785410415493344,0.9178562165981731
2,4,AutoEnconderFullWindow,test,Phase4_target_window50_percentile99_epochs25_lr0.0001__2025-01-06_01-22-42,2025-01-06 01:20:18,50,target,0.6535095577790572,0.9033149171270718,0.6917704013495469,0.8908839779005525,0.8676335174953961,0.880189772627618,0.8913301324212926,0.23797652575856054,0.5446705784836713,0.21727574750830564,1.0,0.993941775905634,0.8916079783603761,0.8668394435847822,0.8865416795016298
2,4,AutoEnconderLastEvent,train,Phase4_target_window50_percentile99_epochs25_lr0.0001__2025-01-06_08-12-22,2025-01-06 11:25:01,50,target,0.6912901089144611,0.7265625,0.6980679221804689,0.71484375,0.7024739583333333,0.7083981556637806,0.7081129807692308,0.1702280064479787,0.4085343804585765,0.19294605809128632,1.0,0.9910189063099881,0.8413627606819205,0.6966238769309386,0.8077953228712192
2,4,AutoEnconderLastEvent,val,Phase4_target_window50_percentile99_epochs25_lr0.0001__2025-01-06_08-12-22,2025-01-06 11:25:01,50,target,1.0,0.9259259259259259,0.9842519685039369,0.9259259259259259,0.9074074074074074,0.9197530864197532,0.9259259259259259,0.17446123023608404,0.47946700206119225,0.16339869281045752,1.0,0.9984136101272693,0.9629629629629629,0.922162147189689,0.9545164979020971
2,4,AutoEnconderLastEvent,test,Phase4_target_window50_percentile99_epochs25_lr0.0001__2025-01-06_08-12-22,2025-01-06 11:25:01,50,target,0.33725492642354543,0.8342541436464088,0.3828736114856098,0.7886740331491713,0.7912062615101288,0.7821812740666331,0.7774865174727053,0.15332849687957995,0.3951494020974676,0.22826908541194255,1.0,0.9922075275244904,0.8221166454872697,0.7797491220991518,0.8132787753165351
2,4,VariationalAutoencoderFullWindow,train,Phase4_target_window50_percentile99_epochs25_lr0.0001__2025-01-06_22-14-29,2025-01-06 23:28:16,50,target,0.027988780396905142,0.97265625,0.0347360874387701,0.951171875,0.9264322916666667,0.9388669056637806,0.8695902079691142,0.4306821885170092,0.7097468424965954,0.08163934426229508,1.0,0.9945677366147204,0.8201249239951904,0.5149506115729692,0.733219586602737
2,4,VariationalAutoencoderFullWindow,val,Phase4_target_window50_percentile99_epochs25_lr0.0001__2025-01-06_22-14-29,2025-01-06 23:28:16,50,target,0.008123757903867039,1.0,0.010134115604398815,1.0,0.9814814814814815,0.9938271604938272,0.9851851851851853,0.4589316655837123,0.7961287557056046,0.10843373493975904,1.0,0.9991025156200224,0.8039683007019514,0.40460571237868226,0.6714237025805986
2,4,VariationalAutoencoderFullWindow,test,Phase4_target_window50_percentile99_epochs25_lr0.0001__2025-01-06_22-14-29,2025-01-06 23:28:16,50,target,0.03702097027997132,0.994475138121547,0.04584950704989465,0.9668508287292817,0.9417587476979743,0.9544345885851411,0.9402746093414764,0.4389252028392813,0.7522714642336196,0.10022271714922049,0.9971830985915493,0.9924948816333066,0.833180338456616,0.47929168795066,0.7259745728102466
2,4,VariationalAutoencoderLastEvent,train,Phase4_target_window50_percentile99_epochs25_lr0.0001__2025-01-07_07-59-48,2025-01-07 08:48:27,50,target,0.03710429342514456,0.9609375,0.04593693072119532,0.93359375,0.9108072916666667,0.9219398223304472,0.8618336460822674,0.44649253473227857,0.707611206543321,0.08316430020283976,1.0,0.9943410846607823,0.8402762625167939,0.5498858783787258,0.7600056660234419
2,4,VariationalAutoencoderLastEvent,val,Phase4_target_window50_percentile99_epochs25_lr0.0001__2025-01-07_07-59-48,2025-01-07 08:48:27,50,target,0.009202462729932123,1.0,0.011476674993941333,1.0,0.9814814814814815,0.9938271604938272,0.9783950617283951,0.4781216157678146,0.7968221905938226,0.10843373493975904,1.0,0.999103645199189,0.8384133415827608,0.4465389795426073,0.713229869232866
2,4,VariationalAutoencoderLastEvent,test,Phase4_target_window50_percentile99_epochs25_lr0.0001__2025-01-07_07-59-48,2025-01-07 08:48:27,50,target,0.05219801614323176,0.9917127071823204,0.06440010795712643,0.9668508287292817,0.9417587476979743,0.9544345885851411,0.9296180488883862,0.43394611336724176,0.7402955521209443,0.10019536701088473,0.9971830985915493,0.9916877092391395,0.8638287818109466,0.5441916182362101,0.7730203188297574
